id,googleId,name,description,averageRating,interestCategories
1,ChIJFQzeR6cZ2jERgM6--iWeY-U,National Gallery Singapore,Museum of Singapore & Southeast Asian arts housed in a restored municipal building dating to 1929.,5.0,"museum"
2,ChIJb6xq2bAZ2jERE1P6sVKtofw,Sultan Mosque,"Landmark Islamic house of worship in the Kampong Glam Malay Heritage District, with guided tours.",5.0,"mosque,place_of_worship"
3,ChIJ0yjU0QwZ2jER6gg0ImuCTRU,Sri Mariamman Temple,"Built in 1827, the city's oldest Hindu temple features a tower densely ornamented with deities.",4.6,"hindu_temple,place_of_worship"
4,ChIJqc0-Q6EZ2jERbzBEE3qq6p0,Armenian Apostolic Church of St. Gregory the Illuminator,Visitors can stroll through the tranquil memorial garden behind Singapore's oldest Christian church.,4.8,"church,place_of_worship"
5,ChIJNfw8b6QZ2jEREbGYft7-Q4A,CHIJMES,"A former convent & school, this 19th-century structure now houses restaurants, bars & event space.",4.8,""
6,ChIJ_xBP6qYZ2jERrO-IiImXiGw,St Andrew's Cathedral,This expansive cathedral offers complimentary guided tours of its sanctuary in early Gothic style.,4.6,"church,place_of_worship"
7,ChIJycZu3HIZ2jER5Miq4PYPupY,Kreta Ayer Square,"The heart of Chinatown, Kreta Ayer is home to an assortment of traditional trades, homegrown brands and some of the best hawker food around.",4.0,""
8,ChIJg766UwAZ2jERcygIqfA86eI,Albert Mall Walking Street,"Albert Mall Walking Street is a captivating historical landmark located in the heart of Bras Basah, Singapore. This bustling pedestrian street is not only a shopping haven but also a vibrant reflection of the city's rich cultural tapestry. As you stroll along the path, you'll encounter an array of shops featuring local artisans, boutiques, and caf̩s that serve up delectable local dishes.",null,"historical_landmark,historical_place"
10,ChIJ3eg6SXMZ2jERCxutt4adUyY,Chinatown Heritage Centre,"Restored shophouses displaying living spaces, furnishings & artifacts of early Chinatown settlers.",4.8,"museum"
11,ChIJ9e68CQ0Z2jER4G80iFVcJgo,Thian Hock Keng Temple,Historic temple built in the classic Chinese style of architecture with columns & dragon sculptures.,5.0,"place_of_worship"
12,ChIJCxTorhMY2jERNG9vFuhEdQE,Eurasian Heritage Gallery,Learn about the history of the Eurasian community in Singapore across the three galleries of this quaint heritage gallery.,4.6,"museum,restaurant,food"
