id,comment,rating,placeId,touristId
1,"It's more than just a museum — it’s a captivating blend of art, history, and architecture that leaves a lasting impression.  Housed within the beautifully restored former Supreme Court and City Hall buildings, the Gallery itself is a masterpiece.  Interactive installations and multimedia elements add layers of engagement, making it a dynamic experience for all ages.  A space where art is not only seen but felt, and where every corner speaks to the creative soul of the region.",5,1,1
2,"We visited a few of the exhibitions and there was so much to see and do — you could easily spend half a day or more here. The variety of art on display is really impressive, from early Singaporean works to bold contemporary pieces from all over Southeast Asia.  The building itself is stunning — a blend of the old Supreme Court and City Hall buildings, beautifully restored and full of character. There are loads of hidden architectural gems inside, from grand old courtrooms to peaceful rooftop spaces with great views over the Padang.  Everything is really well presented and thoughtfully laid out, with lots of interactive elements and information if you want to learn more. Staff were helpful and the galleries were calm and easy to explore.  There are also cafés, restaurants, and great photo spots throughout the space. Whether you’re into art or just want to take in some culture and history, this place is absolutely worth popping into!",5,1,2
3,"The entry hall to the gallery is spacious and impressive. Staff were both professional and friendly. Our entry fee was kindly reduced due to our concession and educator qualifications from a different country - we found that very kind and inclusive. We only had a short time to visit so mainly concentrated on the contemporary art on Level 4. We loved the diversity of art forms in that section and the powerful commentaries conveyed by the artists through their art. The gallery shop, cafe area and child- focused sections are also excellent.",5,1,3
4,Very huge museum with lots of exhibitions to offer. We bought the all access pass for $24 per person but didn’t have the energy to explore them all. It’s very crowded during weekends though.,5,1,4
5,"I was very surprised because the space was so large. I really like art so when I came here I was immersed in art, I was here for 3 hours without getting bored. It is worth the money to buy tickets, very suggested for everyone !!!",5,1,5
6,"What a lovely afternoon exploring Arab Street! The whole area is full of charm with colorful little shops and friendly vendors. I wandered around with no real plan and ended up with a delicious snack in hand and a beautiful blue pendant with green emerald details from a Turkish shop. It was such a nice surprise.  The highlight was visiting Sultan Mosque. It is absolutely gorgeous in person. The golden dome catches your eye from far away and the entire place has a peaceful and welcoming atmosphere. If you’re in Singapore, make sure to stop by. It is a perfect mix of culture, color, and calm.",5,2,3
7,"A must-visit if you’re in the Kampong Glam area! The Sultan Mosque is one of Singapore’s most iconic landmarks – its golden domes and detailed architecture are absolutely stunning. Set in the heart of the Malay Heritage District, it’s a peaceful place to pause, reflect, and take in the history and culture of the area.  Even if you’re just walking by, the atmosphere around the mosque is vibrant, with colourful shophouses, street art, and local eateries all within a short stroll. A fascinating and photogenic stop that gives you a real sense of old Singapore.",5,2,4
8,"A large, clean, and spacious mosque with an upper floor for women and a ground floor for men. For women, there are ablution facilities and restrooms located outside, and prayer abayas are available for use. Masha’Allah, the mosque is big and has a large number of worshippers — may Allah increase and bless them. Thanks to those managing the mosque ❤️👌🏻",5,2,5
9,"You can entry for free, and it's a really comfy place to pray. Men and women have different entrances. The women’s wudhu area is right near the shoe racks, and there are toilets inside too. You can take the stairs or elevator to get to the women’s prayer area on the second floor. Mukena is available if you need one. There are big fans and some power outlets around too",5,2,6
10,"Last month, I had the chance to visit the iconic Sultan Mosque in Singapore. The architecture is absolutely stunning, the golden domes, detailed design, and peaceful atmosphere make it a must-visit. I was especially moved by the history behind the mosque, especially how the base of the dome is made with glass bottles donated by the local Muslim community. A beautiful place rich in culture, spirituality, and unity.  Highly recommended for anyone visiting Kampong Glam!",5,2,1
